memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,918644,0.053687,1337745,941330,44.0
128,cold,True,961975,0.036932,1389654,1001160,44.0
128,cold,True,829147,0.042917,1354995,869750,44.0
128,cold,True,919875,0.033876,1301839,979150,44.0
128,cold,True,909017,0.040355,1289903,967310,44.0
128,cold,True,909102,0.030757,1233534,968680,44.0
128,cold,True,897272,0.045729,1315183,937430,44.0
128,cold,True,875368,0.044968,1216266,915520,44.0
128,cold,True,890161,0.041296,1222251,930810,44.0
128,cold,True,902464,0.042829,1231052,942810,44.0
128,cold,True,916836,0.043653,1288692,957190,44.0
128,cold,True,967535,0.029534,1355017,1007960,44.0
128,cold,True,968849,0.040099,1353167,1005360,44.0
128,cold,True,909862,0.038393,1279637,988180,44.0
128,cold,True,912289,0.044515,1354916,952850,44.0
128,cold,True,808686,0.035726,1115020,849170,44.0
128,cold,True,818182,0.029293,1183133,858870,44.0
128,cold,True,895474,0.034506,1316616,917140,44.0
128,cold,True,922651,0.029106,1316015,981740,44.0
128,cold,True,875834,0.078339,1288568,933020,44.0
128,cold,True,903839,0.041069,1257129,964560,44.0
128,cold,True,906409,0.051716,1290682,946890,44.0
128,cold,True,896125,0.031103,1355906,936800,44.0
128,cold,True,1004818,0.0306,1378993,1063680,44.0
128,cold,True,943077,0.025443,1357419,966230,44.0
128,cold,True,959927,0.042805,1315498,1000440,44.0
128,cold,True,880962,0.06826,1288617,921460,44.0
128,cold,True,1042785,0.039595,1401835,1082180,44.0
128,cold,True,876636,0.038617,1323762,917110,44.0
128,cold,True,935325,0.084121,1322412,975770,44.0
128,cold,True,778562,0.043331,1083910,819030,45.0
128,cold,True,903685,0.086359,1378170,943750,44.0
128,cold,True,998985,0.034687,1346046,1021550,44.0
128,cold,True,887714,0.027756,1355620,946200,44.0
128,cold,True,939022,0.026348,1247210,961800,44.0
128,cold,True,902473,0.038233,1316677,942110,44.0
128,cold,True,959586,0.039156,1246474,999960,44.0
128,cold,True,896048,0.044821,1218475,954650,44.0
128,cold,True,882069,0.038841,1293249,922590,44.0
128,cold,True,845506,0.070833,1287785,885900,44.0
128,cold,True,957794,0.03807,1354826,980590,44.0
128,cold,True,859939,0.02566,1355195,900470,44.0
128,cold,True,904575,0.04204,1354451,945150,44.0
128,cold,True,787635,0.03216,1353157,828220,44.0
128,cold,True,980483,0.039583,1382720,1038740,44.0
128,cold,True,917743,0.026278,1212688,958180,44.0
128,cold,True,892586,0.040114,1229812,950810,44.0
128,cold,True,902630,0.073847,1317521,960950,44.0
128,cold,True,819375,0.033823,1356202,859800,44.0
128,cold,True,958332,0.035489,1303860,998740,44.0
2048,cold,True,70390,0.035775,386486,72910,44.0
2048,cold,True,78395,0.032805,379339,80950,44.0
2048,cold,True,74442,0.036144,376436,77830,44.0
2048,cold,True,56228,0.039444,334024,57900,44.0
2048,cold,True,63341,0.027151,386509,65190,44.0
2048,cold,True,74767,0.02785,359653,78030,44.0
2048,cold,True,70567,0.0361,380076,73640,44.0
2048,cold,True,75876,0.036048,418763,79330,44.0
2048,cold,True,78497,0.041425,373341,82010,44.0
2048,cold,True,61838,0.019515,315534,64810,44.0
2048,cold,True,61214,0.0268,330536,64250,44.0
2048,cold,True,77756,0.039516,418609,87510,44.0
2048,cold,True,61552,0.033508,342382,64660,44.0
2048,cold,True,62513,0.028489,326552,71860,44.0
2048,cold,True,72611,0.040147,386083,74990,44.0
2048,cold,True,72299,0.0356,365889,75850,44.0
2048,cold,True,72708,0.02597,358251,76060,44.0
2048,cold,True,71290,0.039252,387849,74570,44.0
2048,cold,True,70798,0.031431,355770,73990,44.0
2048,cold,True,69053,0.027809,340831,72280,44.0
2048,cold,True,74741,0.040114,370454,77950,44.0
2048,cold,True,63076,0.025599,315490,66100,44.0
2048,cold,True,68214,0.034365,387244,71710,44.0
2048,cold,True,72940,0.03029,404161,76220,44.0
2048,cold,True,63448,0.039183,386663,67960,44.0
2048,cold,True,62775,0.02443,315566,65630,44.0
2048,cold,True,73204,0.035487,389900,76580,44.0
2048,cold,True,67999,0.0342,358523,71050,44.0
2048,cold,True,70923,0.035205,383800,73570,44.0
