memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,6973499,0.032953,7538041,6994670,100.0
128,cold,True,6978170,0.034313,7536140,7000530,100.0
128,cold,True,7565820,0.035542,7864826,7586670,100.0
128,cold,True,7081665,0.032938,7503396,7102220,100.0
128,cold,True,7617101,0.02937,7935505,7638710,100.0
128,cold,True,7978539,0.033639,8333990,7981220,100.0
128,cold,True,7251683,0.025398,7572584,7272440,100.0
128,cold,True,7357713,0.028483,7711714,7360690,100.0
128,cold,True,7220181,0.033282,7605920,7242480,100.0
128,cold,True,7299051,0.031601,7671499,7317800,100.0
128,cold,True,6949141,0.03264,7536787,6952170,100.0
128,cold,True,7545102,0.020356,7894809,7566560,100.0
128,cold,True,6943437,0.030164,7503984,6963980,100.0
128,cold,True,7632958,0.020681,7921357,7635570,100.0
128,cold,True,7401173,0.034409,7838064,7419830,100.0
128,cold,True,7487890,0.032557,7939380,7508130,100.0
128,cold,True,7724872,0.03387,8031336,7745500,100.0
128,cold,True,7379986,0.028872,7709459,7402040,100.0
128,cold,True,7171416,0.032238,7536986,7193830,100.0
128,cold,True,7426159,0.037097,7780553,7442490,100.0
128,cold,True,7467055,0.024649,7743860,7487630,100.0
128,cold,True,7161691,0.027088,7571626,7184110,100.0
128,cold,True,7257931,0.032979,7572101,7278620,100.0
128,cold,True,6760115,0.025492,7295722,6782190,100.0
128,cold,True,7236637,0.037833,7560908,7257270,100.0
128,cold,True,7129221,0.029307,7571692,7132410,100.0
128,cold,True,7572915,0.032562,7937594,7593720,100.0
128,cold,True,7418059,0.028704,7761441,7438680,100.0
128,cold,True,7158869,0.019979,7572643,7160820,100.0
128,cold,True,7233608,0.031581,7607420,7256830,100.0
128,cold,True,7034619,0.031747,7399143,7054960,100.0
128,cold,True,7512707,0.035079,7851376,7533090,100.0
128,cold,True,7877655,0.039166,8221139,7900530,100.0
128,cold,True,7339128,0.026753,7655560,7341880,100.0
128,cold,True,7456712,0.033538,7910739,7469760,100.0
128,cold,True,6613699,0.025486,6890445,6616400,100.0
128,cold,True,7608366,0.036092,8016085,7629090,100.0
128,cold,True,7117999,0.031936,7507045,7138350,100.0
128,cold,True,7977261,0.032487,8246985,7997880,100.0
128,cold,True,7078727,0.034585,7505538,7081620,100.0
128,cold,True,7256725,0.033023,7542885,7279810,100.0
128,cold,True,7522565,0.032091,7840055,7525410,100.0
128,cold,True,7593561,0.032092,7956643,7596030,100.0
128,cold,True,7658579,0.025066,8010687,7679150,100.0
128,cold,True,6990253,0.027717,7324341,6993130,100.0
128,cold,True,7123489,0.031806,7441548,7145660,100.0
128,cold,True,7675641,0.029572,8031537,7694880,100.0
128,cold,True,7301592,0.036398,7593661,7322140,100.0
128,cold,True,7382005,0.034136,7679735,7402610,100.0
128,cold,True,7119169,0.03505,7536218,7122250,100.0
2048,cold,True,566283,0.030418,975251,568210,100.0
2048,cold,True,619590,0.03328,986412,0,
2048,cold,True,591784,0.032553,926598,594260,100.0
2048,cold,True,573240,0.035836,987100,576070,100.0
2048,cold,True,605887,0.031296,917498,608770,100.0
2048,cold,True,591949,0.025292,929812,594840,100.0
2048,cold,True,628607,0.045442,980046,631530,100.0
2048,cold,True,556529,0.026488,916566,559290,100.0
2048,cold,True,636293,0.034178,976590,639170,100.0
2048,cold,True,610835,0.0314,1086495,613700,100.0
2048,cold,True,538667,0.025877,1083732,540700,100.0
2048,cold,True,638911,0.041005,1063534,641890,100.0
2048,cold,True,663105,0.040052,1005098,666080,100.0
