memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,cold,True,1994569,0.045719,2797662,2014670,96.0
256,cold,True,1900325,0.054038,2692097,1915010,96.0
256,cold,True,1897552,0.048833,2685979,1913070,96.0
256,cold,True,1929032,0.051192,2733653,1948320,96.0
256,cold,True,1831869,0.050735,2558008,1834040,96.0
256,cold,True,1937494,0.036602,2707543,1939980,96.0
256,cold,True,1783129,0.053087,2547700,1787640,96.0
256,cold,True,1780114,0.05127,2609221,1782270,96.0
256,cold,True,1964118,0.057953,2763987,1971820,96.0
256,cold,True,1939838,0.048243,2711324,1941790,96.0
256,cold,True,1824887,0.035916,2609237,1826500,96.0
256,cold,True,1961725,0.049653,2747039,1964100,96.0
256,cold,True,1975082,0.055499,2780458,1977520,96.0
256,cold,True,1836635,0.041104,2673521,1839330,96.0
256,cold,True,1839613,0.043809,2607972,1851430,96.0
256,cold,True,1905202,0.032526,2711203,1924010,96.0
256,cold,True,1853891,0.049017,2643738,1873630,96.0
256,cold,True,1845999,0.051398,2611353,1848350,96.0
256,cold,True,1910270,0.045413,2703991,1912900,96.0
256,cold,True,1845293,0.035958,2642366,1846890,96.0
256,cold,True,1826347,0.036895,2516730,1827630,96.0
256,cold,True,1826811,0.034992,2562022,1828330,96.0
256,cold,True,1808154,0.054152,2704349,1826840,96.0
256,cold,True,1783916,0.033732,2607385,1796170,96.0
256,cold,True,1888288,0.043497,2703030,1889950,96.0
256,cold,True,1898737,0.048326,2705749,1900200,96.0
256,cold,True,1812888,0.032737,2670203,1818690,96.0
256,cold,True,1838805,0.033999,2705581,1840250,96.0
256,cold,True,1838948,0.047061,2562027,1845700,96.0
256,cold,True,1741132,0.050586,2608934,1743370,96.0
256,cold,True,1885774,0.055524,2673991,1904970,96.0
256,cold,True,1854357,0.03514,2706260,1869420,96.0
256,cold,True,1870429,0.038222,2643680,1872210,96.0
256,cold,True,1876830,0.034131,2704558,1884690,96.0
256,cold,True,1884386,0.049576,2667312,1894170,96.0
256,cold,True,1746481,0.040226,2670275,1764330,96.0
256,cold,True,1866250,0.05428,2706000,1868530,96.0
256,cold,True,1903830,0.035606,2673145,1909550,96.0
256,cold,True,1876836,0.045607,2670708,1891870,96.0
256,cold,True,1783625,0.03268,2671049,1785540,96.0
256,cold,True,1873135,0.032818,2671248,1884430,96.0
256,cold,True,1835446,0.048687,2609084,1837920,96.0
256,cold,True,1817498,0.044367,2606713,1825610,96.0
256,cold,True,1874482,0.045363,2657233,1876010,96.0
256,cold,True,1803139,0.049025,2703043,1805340,96.0
256,cold,True,1887052,0.045079,2665973,1888640,96.0
256,cold,True,1855255,0.052688,2671456,1873330,96.0
256,cold,True,1753769,0.036589,2545236,1759420,96.0
256,cold,True,1890077,0.045984,2655181,1891750,96.0
256,cold,True,1814019,0.044073,2546172,1815950,96.0
128,cold,True,3851273,0.051027,4669354,3871370,96.0
128,cold,True,3852613,0.054321,4652864,3890720,96.0
128,cold,True,3895254,0.042251,4704280,3940490,96.0
128,cold,True,3931851,0.050916,4720373,3951680,96.0
128,cold,True,3715269,0.051902,4598408,3769170,96.0
128,cold,True,3538641,0.045541,4265223,3564860,96.0
128,cold,True,3780507,0.054964,4580510,3799120,96.0
128,cold,True,3751967,0.038264,4633052,3770450,96.0
