memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,cold,True,1667045,0.04999,1968418,1690330,86.0
256,cold,True,1722209,0.037129,2009613,1735190,86.0
256,cold,True,1743231,0.042483,2079943,1765010,86.0
256,cold,True,1804840,0.052196,2143058,1808280,86.0
256,cold,True,1644373,0.05371,2046416,1650980,86.0
256,cold,True,1786134,0.037135,2061082,1806500,86.0
256,cold,True,1676689,0.034248,1939879,1688800,86.0
256,cold,True,1715910,0.039876,2018496,1730980,86.0
256,cold,True,1749636,0.030223,2136608,1753840,86.0
256,cold,True,1715842,0.043096,2047163,1727250,86.0
256,cold,True,1629984,0.03063,1951073,1641290,86.0
256,cold,True,1727260,0.038355,2029740,1738530,86.0
256,cold,True,1717121,0.044591,2049055,1736300,86.0
256,cold,True,1686682,0.034845,1967084,1705140,86.0
256,cold,True,1650065,0.033578,1920141,1664830,86.0
256,cold,True,1727218,0.052424,2038245,1748300,86.0
256,cold,True,1751382,0.05021,2113630,1759360,86.0
256,cold,True,1722565,0.044657,2048906,1726060,86.0
256,cold,True,1773985,0.049956,2098487,1787910,86.0
256,cold,True,1630543,0.036736,1899540,1633690,86.0
256,cold,True,1645423,0.034223,1926580,1660010,86.0
256,cold,True,1635292,0.032378,1951754,1655610,86.0
256,cold,True,1731011,0.03433,2026176,1736110,86.0
256,cold,True,1653305,0.032498,1924543,1660060,86.0
256,cold,True,1632034,0.035857,1965663,1640260,86.0
256,cold,True,1767547,0.039723,2054778,1780510,86.0
256,cold,True,1600015,0.033795,2047247,1603950,86.0
256,cold,True,1603556,0.043727,1866656,1607850,86.0
256,cold,True,1750702,0.052399,2053182,1761020,86.0
256,cold,True,1707760,0.046079,1989099,1716000,86.0
256,cold,True,1690230,0.046643,1978691,1697740,86.0
256,cold,True,1730741,0.0477,2019138,1750780,86.0
256,cold,True,1730675,0.03887,2024837,1749900,86.0
256,cold,True,1638976,0.042138,1952403,1642240,86.0
256,cold,True,1747214,0.042477,2064411,1760620,86.0
256,cold,True,1700649,0.049678,2008122,1708250,86.0
256,cold,True,1714610,0.051704,2050622,1734150,86.0
256,cold,True,1725806,0.049634,2029620,1734320,86.0
256,cold,True,1721245,0.034461,2021314,1725920,86.0
256,cold,True,1607363,0.054447,1909507,1610300,86.0
256,cold,True,1782683,0.051648,2096504,1799350,86.0
256,cold,True,1748144,0.04736,2108401,1767850,86.0
256,cold,True,1602754,0.035767,2046571,1606270,86.0
256,cold,True,1780260,0.050526,2085761,1802820,86.0
256,cold,True,1586444,0.035172,1964317,1605260,86.0
256,cold,True,1611079,0.045077,1885030,1626110,86.0
256,cold,True,1757674,0.041115,2079732,1768430,86.0
256,cold,True,1728240,0.042577,2046161,1731870,86.0
256,cold,True,1675910,0.052266,2046054,1695800,86.0
256,cold,True,1605397,0.052479,2047693,1612110,86.0
