memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,cold,True,3328634,0.041854,3843552,3331740,100.0
256,cold,True,3191311,0.029213,3518131,3210890,100.0
256,cold,True,3509946,0.036832,3845025,3512860,100.0
256,cold,True,3586861,0.075241,4012589,3588830,100.0
256,cold,True,3650646,0.040636,3948432,3653610,100.0
256,cold,True,3583620,0.032265,3853659,3595170,100.0
256,cold,True,3489071,0.030253,3843854,3491220,100.0
256,cold,True,3555715,0.075312,3924195,3558590,100.0
256,cold,True,3349241,0.07625,3686683,3351130,100.0
256,cold,True,3292339,0.02943,3558914,3295190,100.0
256,cold,True,3513152,0.049788,3845492,3515920,100.0
256,cold,True,3382345,0.039821,3816786,3385340,100.0
256,cold,True,3821718,0.036076,4254502,3824150,100.0
256,cold,True,3627698,0.032551,3941572,3629910,100.0
256,cold,True,3571609,0.03583,3859047,3574480,100.0
256,cold,True,3421131,0.049589,3716875,3423630,100.0
256,cold,True,3423007,0.030737,3814757,3425510,100.0
256,cold,True,3096679,0.034605,3506928,3099390,100.0
256,cold,True,3208053,0.03553,3508770,3210830,100.0
256,cold,True,3673974,0.046583,4048977,3676950,100.0
256,cold,True,3770175,0.030173,4128203,3773240,100.0
256,cold,True,3403727,0.040687,3842941,3420440,100.0
256,cold,True,3607193,0.032807,3932549,3610190,100.0
256,cold,True,3515278,0.046112,3775980,3517340,100.0
256,cold,True,3564318,0.048831,3953931,3567200,100.0
256,cold,True,3167154,0.044153,3478526,3169860,100.0
256,cold,True,3657653,0.029343,4030297,3660740,100.0
256,cold,True,3611449,0.050479,3921066,3614290,100.0
256,cold,True,3333111,0.066825,3676137,3335520,100.0
256,cold,True,3514589,0.051853,3834539,3517430,100.0
256,cold,True,3436474,0.031545,3843572,3439240,100.0
256,cold,True,3528238,0.035818,4041583,3531140,100.0
256,cold,True,3550441,0.038649,3818556,3552810,100.0
256,cold,True,3614664,0.066773,3996614,3617550,100.0
256,cold,True,3494829,0.04778,3937167,3497740,100.0
256,cold,True,3638224,0.052981,3971635,3639970,100.0
256,cold,True,3623753,0.040587,3998507,3626700,100.0
256,cold,True,3438977,0.032982,3706469,3442470,100.0
256,cold,True,3522237,0.029219,4041401,3525120,100.0
256,cold,True,3596037,0.046962,3938267,3599100,100.0
256,cold,True,3221518,0.035467,3533877,3224180,100.0
256,cold,True,3652787,0.031475,3946044,3655510,100.0
256,cold,True,3430929,0.076346,3843037,3433810,100.0
256,cold,True,3523327,0.045977,3838513,3526290,100.0
256,cold,True,3459330,0.052581,3770421,3462490,100.0
256,cold,True,3430817,0.052561,3736694,3433440,100.0
256,cold,True,3737150,0.047181,4224152,3739870,100.0
256,cold,True,3547716,0.038069,3900569,3550740,100.0
256,cold,True,3681883,0.031602,3938648,3699290,100.0
256,cold,True,3765906,0.045384,4252249,3769040,100.0
256,cold,True,3430609,0.044168,3814759,3433570,100.0
256,cold,True,3387964,0.034061,3699096,3391000,100.0
256,cold,True,3078992,0.050202,3404048,3081730,100.0
256,cold,True,3299258,0.03415,3582411,3302340,100.0
256,cold,True,3422165,0.049262,3721218,3425300,100.0
256,cold,True,3356830,0.033873,3651777,3360300,100.0
256,cold,True,3404584,0.062062,3695021,3407110,100.0
256,cold,True,3263414,0.033815,3539850,3265960,100.0
256,cold,True,3495432,0.028609,3845284,3538540,100.0
128,cold,True,7559666,0.050537,7908723,7575410,100.0
128,cold,True,7842218,0.045672,8204344,7845060,100.0
128,cold,True,7518112,0.048608,7907477,7539350,100.0
128,cold,True,7378393,0.053757,7729454,7400740,100.0
128,cold,True,7705067,0.046947,8081458,7723750,100.0
128,cold,True,7418440,0.036788,7719195,7438100,100.0
128,cold,True,7782550,0.047701,8169977,7803280,100.0
128,cold,True,7212242,0.051012,7611692,7228970,100.0
128,cold,True,7202353,0.04405,7478477,7204260,100.0
128,cold,True,7335984,0.047227,7718687,7356670,100.0
128,cold,True,7469314,0.051221,7908861,7471440,100.0
128,cold,True,7696838,0.036191,8032531,7698980,100.0
128,cold,True,7153721,0.05053,7520370,7156670,100.0
128,cold,True,7655411,0.045585,8063288,7676350,100.0
128,cold,True,7346085,0.038308,7705821,7366920,100.0
128,cold,True,7268688,0.046815,7904304,7272070,100.0
128,cold,True,7169116,0.035741,7514425,7191230,100.0
128,cold,True,7065536,0.033115,7411434,7068390,100.0
128,cold,True,8005428,0.042664,8333614,8044040,100.0
128,cold,True,6984835,0.046418,7310187,7006190,100.0
128,cold,True,6911367,0.046874,7295706,6931910,100.0
128,cold,True,7557606,0.047928,7923885,7578770,100.0
128,cold,True,7959159,0.042046,8249986,7961310,100.0
128,cold,True,7167039,0.035214,7514272,7186200,100.0
128,cold,True,7345429,0.036734,7617974,7364490,100.0
128,cold,True,7492163,0.050979,7908831,7514740,100.0
128,cold,True,7461977,0.043864,7905430,7464070,100.0
128,cold,True,7147803,0.037328,7408997,7164440,100.0
128,cold,True,7509147,0.05429,7957078,7530370,100.0
128,cold,True,6929836,0.038375,7501314,6947000,100.0
128,cold,True,6761143,0.049122,7295908,6781300,100.0
128,cold,True,7396017,0.036196,7912773,7413530,100.0
128,cold,True,7035806,0.053434,7461255,7055990,100.0
128,cold,True,7382724,0.036414,7654176,7385330,100.0
128,cold,True,7655349,0.033897,7978195,7658530,100.0
128,cold,True,7609904,0.053502,8000495,7630270,100.0
128,cold,True,6891942,0.035479,7177094,6905890,100.0
128,cold,True,7131251,0.048549,7499909,7151960,100.0
128,cold,True,6938512,0.056662,7322338,6959830,100.0
128,cold,True,7187959,0.035395,7467489,7208350,100.0
128,cold,True,7536058,0.036026,7911753,7555100,100.0
128,cold,True,6944856,0.042958,7296091,6965090,100.0
128,cold,True,7254302,0.051074,7686109,7275030,100.0
128,cold,True,7279295,0.04588,7549859,7285230,100.0
128,cold,True,7238411,0.058105,7535385,7258860,100.0
128,cold,True,7521989,0.033871,7904759,7524740,100.0
128,cold,True,7287969,0.03772,7565166,7290960,100.0
128,cold,True,7537871,0.045458,7923780,7540240,100.0
128,cold,True,6828045,0.046891,7311154,6829930,100.0
128,cold,True,6831025,0.048586,7310817,6852680,100.0
2048,cold,True,560931,0.041646,861044,562790,100.0
2048,cold,True,645449,0.030386,930773,648340,100.0
2048,cold,True,612470,0.036263,902792,615170,100.0
2048,cold,True,593519,0.030995,861970,596370,100.0
2048,cold,True,588641,0.055324,964426,591480,100.0
