memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,cold,True,5250,0.031961,586529,26230,113.0
256,cold,True,5281,0.032473,586625,8920,113.0
256,cold,True,9111,0.033812,603329,11930,113.0
256,cold,True,9461,0.029812,655797,12470,113.0
256,cold,True,5053,0.029886,630474,16140,113.0
256,cold,True,4169,0.034981,455991,7450,113.0
256,cold,True,9187,0.032951,539402,11960,113.0
256,cold,True,4497,0.033401,587847,26540,113.0
256,cold,True,5368,0.022933,581959,26280,113.0
256,cold,True,3935,0.03033,428361,6450,113.0
256,cold,True,9399,0.036595,597802,12500,113.0
256,cold,True,4292,0.033566,487369,6840,113.0
256,cold,True,4520,0.028722,551844,8050,113.0
256,cold,True,5083,0.029299,609632,25890,113.0
256,cold,True,13503,0.032711,549884,16390,113.0
256,cold,True,12430,0.027767,550660,15110,113.0
256,cold,True,5320,0.031922,624806,16620,113.0
256,cold,True,9188,0.038176,522662,12190,113.0
256,cold,True,5256,0.033329,547198,9070,113.0
256,cold,True,13543,0.036435,540103,15700,113.0
256,cold,True,4172,0.027915,550247,23390,113.0
256,cold,True,9524,0.034881,570293,12490,113.0
256,cold,True,17080,0.033137,586666,19920,113.0
256,cold,True,5220,0.02928,578521,25270,113.0
256,cold,True,17159,0.037598,587909,20050,113.0
256,cold,True,13685,0.032829,551787,32970,113.0
256,cold,True,5063,0.028786,586211,24850,113.0
256,cold,True,5141,0.026339,606800,23870,113.0
256,cold,True,13369,0.030456,556092,16410,113.0
256,cold,True,3764,0.035407,431610,10130,113.0
256,cold,True,5152,0.034528,551607,21020,113.0
256,cold,True,5718,0.032039,552859,25890,113.0
256,cold,True,5104,0.034814,584721,15260,113.0
256,cold,True,9252,0.031082,528199,11410,113.0
256,cold,True,4059,0.036086,531577,34390,113.0
256,cold,True,4409,0.035694,550655,16630,113.0
256,cold,True,9298,0.03055,615788,12270,113.0
256,cold,True,4981,0.020303,532788,13650,113.0
256,cold,True,5265,0.033287,586654,17560,113.0
256,cold,True,3864,0.028207,445027,6230,113.0
256,cold,True,5076,0.03498,555470,24160,113.0
256,cold,True,5207,0.028804,588684,16129,113.0
256,cold,True,5094,0.034094,537109,19880,113.0
256,cold,True,5001,0.03345,534918,17830,113.0
256,cold,True,4978,0.034777,587044,8870,113.0
256,cold,True,5186,0.019417,549204,23610,113.0
256,cold,True,13598,0.034605,621413,33620,113.0
256,cold,True,4613,0.03424,479933,19220,113.0
256,cold,True,4784,0.02885,491234,21480,113.0
256,cold,True,4612,0.032287,504210,19700,113.0
2048,cold,True,4457,0.027461,560273,8290,113.0
2048,cold,True,5221,0.046109,576415,7990,113.0
2048,cold,True,5328,0.08713,571323,8119,113.0
2048,cold,True,5138,0.063126,560304,7870,113.0
2048,cold,True,3714,0.07167,468069,5000,113.0
2048,cold,True,5280,0.040734,593355,7850,113.0
2048,cold,True,3828,0.031079,484151,5820,113.0
2048,cold,True,6733,0.039642,589747,0,
2048,cold,True,4585,0.036766,491992,0,
2048,cold,True,4484,0.037787,559373,7070,113.0
2048,cold,True,4016,0.073184,466896,6130,113.0
2048,cold,True,5285,0.095275,621389,8029,113.0
2048,cold,True,4099,0.069817,551545,6830,113.0
2048,cold,True,4845,0.086964,566871,7450,113.0
2048,cold,True,4165,0.043004,457516,6340,113.0
2048,cold,True,5101,0.070539,581134,7580,113.0
2048,cold,True,5493,0.036941,555597,8119,113.0
2048,cold,True,4533,0.027751,559329,6910,113.0
2048,cold,True,5167,0.036563,640248,8000,113.0
2048,cold,True,3838,0.066091,466184,0,
2048,cold,True,4105,0.04145,553667,6500,113.0
2048,cold,True,3978,0.0536,553411,6340,113.0
2048,cold,True,3826,0.072276,464215,0,
2048,cold,True,5259,0.055228,582022,8300,113.0
2048,cold,True,5091,0.076382,555397,0,
2048,cold,True,5589,0.035185,606460,13260,113.0
2048,cold,True,5143,0.05435,577584,8010,113.0
2048,cold,True,4743,0.049703,553414,7090,113.0
2048,cold,True,4009,0.029266,457731,5340,113.0
2048,cold,True,3876,0.073516,465243,6150,113.0
2048,cold,True,5591,0.035318,571011,8189,113.0
2048,cold,True,5256,0.032589,567391,8039,113.0
2048,cold,True,5321,0.030686,559886,8180,113.0
2048,cold,True,4576,0.048406,526275,12190,113.0
2048,cold,True,4999,0.073447,578001,0,
2048,cold,True,5287,0.053402,573577,8050,113.0
2048,cold,True,4765,0.072663,498433,7280,113.0
2048,cold,True,4442,0.036898,485944,0,
2048,cold,True,5262,0.036362,560785,7460,113.0
2048,cold,True,4507,0.043608,533660,6920,113.0
2048,cold,True,4012,0.050912,554174,6260,113.0
2048,cold,True,5074,0.031675,583210,7900,113.0
2048,cold,True,4373,0.035042,469109,6120,113.0
2048,cold,True,4113,0.064552,467075,0,
2048,cold,True,5166,0.027961,570145,7870,113.0
2048,cold,True,5066,0.032606,558822,7510,113.0
2048,cold,True,5387,0.031916,528047,0,
2048,cold,True,4382,0.030122,486450,0,
2048,cold,True,6332,0.031224,524075,9070,113.0
2048,cold,True,5195,0.071128,610861,7950,113.0
2048,warm,False,2268,0.026448,64608,0,
2048,warm,False,2404,0.030714,57930,3300,114.0
2048,warm,False,2638,0.032308,55282,0,
